PWM_1000,PWM_1050,PWM_1100,PWM_1150,PWM_1200,PWM_1250,PWM_1300,PWM_1350,PWM_1400,PWM_1450,PWM_1500,PWM_1550,PWM_1600,PWM_1650,PWM_1700,PWM_1750,PWM_1800,PWM_1850,PWM_1900,PWM_1950,PWM_2000
-0.0295,0.062,0.1355,0.1975,0.2795,0.3545,0.4315,0.5135,0.592,0.644,0.7045,0.77,0.842,0.9185,0.986,1.0885,1.227,1.3175,1.4425,1.514,1.5985
-0.023,0.0635,0.1365,0.2055,0.268,0.3685,0.438,0.5155,0.592,0.644,0.7095,0.78,0.8455,0.929,0.993,1.1005,1.2095,1.345,1.448,1.528,1.5795
-0.022,0.0535,0.1275,0.209,0.2745,0.3635,0.4355,0.51,0.5765,0.675,0.704,0.7735,0.845,0.9245,1.0075,1.1075,1.2175,1.323,1.453,1.5255,1.573
-0.0295,0.057,0.1195,0.195,0.283,0.3555,0.437,0.518,0.583,0.663,0.7005,0.7805,0.828,0.919,0.99,1.0885,1.2265,1.315,1.448,1.514,1.5965
-0.0325,0.067,0.1315,0.208,0.2785,0.364,0.438,0.517,0.5935,0.646,0.7095,0.7755,0.834,0.9175,0.993,1.0915,1.2215,1.321,1.448,1.507,1.6035
-0.024,0.062,0.134,0.2135,0.2745,0.367,0.424,0.518,0.5815,0.6575,0.71,0.7725,0.846,0.925,0.9995,1.1075,1.222,1.3355,1.455,1.5245,1.5775
-0.025,0.0545,0.127,0.2,0.2795,0.3645,0.441,0.518,0.578,0.6665,0.703,0.7795,0.8325,0.94,0.992,1.0995,1.218,1.33,1.4595,1.52,1.579
-0.0285,0.0555,0.1215,0.2045,0.2795,0.359,0.432,0.518,0.586,0.65,0.708,0.7725,0.8325,0.9235,0.9925,1.0905,1.222,1.3175,1.457,1.4995,1.6035
-0.0274999999999998,0.0605,0.1295,0.202,0.2735,0.3695,0.435,0.519,0.585,0.66,0.712,0.769,0.8405,0.917,0.996,1.097,1.2085,1.3155,1.455,1.5175,1.594
-0.0235,0.0605,0.133,0.1965,0.2845,0.367,0.44,0.525,0.58,0.6565,0.707,0.7865,0.8415,0.931,1.0005,1.096,1.21,1.3245,1.4645,1.5245,1.5755
-0.0315,0.0545,0.1225,0.217,0.274,0.356,0.432,0.5195,0.583,0.6465,0.6985,0.777,0.844,0.9305,1.0025,1.0985,1.2225,1.3165,1.4545,1.505,1.596
-0.018,0.058,0.123,0.203,0.275,0.3645,0.4345,0.512,0.5935,0.66,0.7065,0.77,0.836,0.928,0.9905,1.094,1.21,1.313,1.445,1.493,1.597
-0.031,0.061,0.1285,0.191,0.277,0.369,0.4285,0.52,0.595,0.6565,0.7045,0.7905,0.837,0.9075,0.9995,1.0945,1.2,1.3175,1.4615,1.506,1.5885
-0.0285,0.061,0.126,0.2105,0.2875,0.3665,0.4395,0.5255,0.586,0.658,0.6955,0.767,0.8475,0.9265,0.998,1.103,1.22,1.3255,1.4575,1.5095,1.593
-0.0275,0.0535,0.1305,0.2065,0.2795,0.359,0.4385,0.517,0.591,0.6565,0.6985,0.7785,0.847,0.934,0.9925,1.0975,1.2085,1.3195,1.4515,1.495,1.597
-0.023,0.051,0.127,0.1975,0.2725,0.3615,0.436,0.519,0.6005,0.656,0.7005,0.77,0.8445,0.935,0.9965,1.095,1.1985,1.3245,1.451,1.5085,1.5915
-0.022,0.0625,0.124,0.209,0.283,0.366,0.439,0.5195,0.587,0.6645,0.7035,0.7805,0.836,0.9195,1.004,1.1065,1.219,1.3175,1.4505,1.5165,1.5855
-0.0285,0.0565,0.1285,0.206,0.2905,0.369,0.4385,0.5235,0.5925,0.6555,0.7005,0.771,0.838,0.9245,0.9915,1.096,1.212,1.3095,1.4565,1.512,1.5955
-0.026,0.057,0.136,0.2025,0.2795,0.3645,0.4405,0.5245,0.596,0.653,0.7065,0.782,0.844,0.9345,0.996,1.09,1.1995,1.321,1.456,1.5015,1.599
-0.0249999999999998,0.0555,0.126,0.201,0.2685,0.363,0.434,0.512,0.594,0.663,0.709,0.7705,0.84,0.931,1.0005,1.102,1.207,1.328,1.456,1.5075,1.599
-0.0265,0.0575,0.125,0.209,0.285,0.364,0.434,0.5125,0.588,0.6715,0.702,0.7795,0.8355,0.921,0.995,1.104,1.215,1.316,1.448,1.513,1.596
-0.0285,0.058,0.1305,0.2005,0.2855,0.359,0.443,0.525,0.5895,0.643,0.7015,0.7735,0.8325,0.92,0.9925,1.092,1.213,1.303,1.4605,1.5045,1.598
-0.0305,0.0645,0.1305,0.2065,0.2745,0.3725,0.4425,0.5215,0.5875,0.653,0.7075,0.776,0.8435,0.927,0.9875,1.094,1.208,1.3315,1.47,1.506,1.5775
-0.0295,0.0615,0.127,0.203,0.283,0.3555,0.435,0.511,0.586,0.672,0.699,0.769,0.8375,0.9315,0.999,1.11,1.2035,1.3165,1.459,1.5155,1.5875
-0.025,0.061,0.124,0.209,0.285,0.3635,0.434,0.519,0.581,0.656,0.701,0.7825,0.8365,0.9155,0.9855,1.1015,1.214,1.3075,1.4435,1.5075,1.595
-0.027,0.068,0.1295,0.2105,0.2785,0.3685,0.441,0.5235,0.588,0.6505,0.708,0.7725,0.837,0.9145,0.9815,1.095,1.2165,1.313,1.4495,1.5165,1.59
-0.0315,0.045,0.1345,0.2025,0.278,0.3665,0.4405,0.5305,0.5905,0.655,0.7175,0.777,0.8415,0.926,0.998,1.105,1.194,1.3175,1.4615,1.514,1.5815
-0.0275,0.066,0.1275,0.203,0.2835,0.3615,0.433,0.519,0.5825,0.6645,0.7135,0.7675,0.8425,0.9265,0.9985,1.106,1.2055,1.325,1.4465,1.517,1.5935
-0.0229999999999998,0.069,0.1255,0.209,0.2795,0.357,0.4395,0.5125,0.5895,0.6595,0.71,0.7685,0.836,0.907,0.979,1.099,1.212,1.314,1.4445,1.5155,1.596
-0.0239999999999998,0.058,0.1335,0.2025,0.2795,0.3645,0.4395,0.5285,0.5905,0.644,0.718,0.768,0.8365,0.917,0.99,1.0965,1.2025,1.3085,1.4535,1.5195,1.5825
-0.0305,0.0605,0.1325,0.201,0.2855,0.3665,0.433,0.532,0.591,0.6635,0.7255,0.773,0.845,0.922,0.989,1.103,1.2085,1.3245,1.454,1.5225,1.581
-0.0315,0.0625,0.1275,0.2125,0.285,0.358,0.441,0.511,0.5905,0.67,0.722,0.7645,0.843,0.9305,0.9815,1.105,1.211,1.318,1.452,1.5175,1.594
-0.0225,0.0605,0.132,0.2055,0.2805,0.358,0.4385,0.5155,0.601,0.6465,0.7135,0.7765,0.838,0.9175,0.9855,1.096,1.199,1.3015,1.438,1.5175,1.6095
-0.024,0.0665,0.1305,0.204,0.276,0.372,0.437,0.5265,0.599,0.6565,0.717,0.7675,0.835,0.91,0.986,1.101,1.1975,1.321,1.455,1.5185,1.5865
-0.0285,0.052,0.131,0.209,0.28,0.3655,0.4445,0.5185,0.5895,0.67,0.7305,0.7645,0.8415,0.925,0.986,1.106,1.2135,1.325,1.461,1.5185,1.5775
-0.032,0.0485,0.129,0.2055,0.291,0.353,0.4345,0.521,0.5925,0.6595,0.719,0.763,0.8335,0.927,0.98,1.1075,1.2095,1.2995,1.454,1.5185,1.6025
-0.0215,0.0635,0.1305,0.2135,0.2765,0.3645,0.435,0.5185,0.6005,0.6485,0.713,0.778,0.8315,0.912,0.9825,1.102,1.202,1.3165,1.4465,1.512,1.6045
-0.0215,0.06,0.1305,0.2025,0.273,0.3625,0.4385,0.52,0.595,0.6655,0.713,0.769,0.837,0.9145,0.985,1.11,1.197,1.3275,1.4435,1.5165,1.589
-0.0255,0.053,0.1305,0.203,0.284,0.3645,0.438,0.5305,0.5885,0.6645,0.7235,0.772,0.844,0.921,0.98,1.103,1.2095,1.3155,1.4485,1.5285,1.591
-0.031,0.0625,0.128,0.2125,0.279,0.3575,0.436,0.521,0.5925,0.65,0.727,0.762,0.837,0.9135,0.978,1.1055,1.2155,1.312,1.4505,1.5175,1.6005
-0.024,0.06,0.126,0.2125,0.272,0.36,0.4375,0.5175,0.594,0.655,0.709,0.7735,0.829,0.9115,0.9825,1.104,1.197,1.304,1.445,1.5135,1.6
-0.0215,0.059,0.131,0.2025,0.283,0.368,0.438,0.52,0.5915,0.6665,0.715,0.7655,0.8385,0.9125,0.985,1.1085,1.202,1.3315,1.444,1.5185,1.588
-0.0295,0.0595,0.1305,0.202,0.2905,0.3555,0.4305,0.526,0.5885,0.661,0.7265,0.7735,0.8415,0.915,0.98,1.1035,1.2185,1.323,1.45,1.524,1.5875
-0.0269999999999998,0.051,0.128,0.212,0.2765,0.3565,0.4415,0.52,0.592,0.6505,0.7245,0.762,0.8245,0.9025,0.9885,1.11,1.205,1.305,1.452,1.519,1.603
-0.0195,0.0615,0.126,0.2035,0.2805,0.368,0.44,0.52,0.5995,0.6565,0.7145,0.7725,0.827,0.903,0.9945,1.1085,1.1995,1.337,1.446,1.5175,1.6025
-0.028,0.067,0.125,0.2055,0.2895,0.3645,0.432,0.5135,0.5955,0.667,0.72,0.7655,0.835,0.9175,0.981,1.1095,1.203,1.351,1.4445,1.5155,1.5935
-0.0215,0.0575,0.131,0.2025,0.2875,0.3525,0.4425,0.521,0.593,0.66,0.7235,0.7735,0.8415,0.909,0.981,1.1085,1.203,1.3245,1.447,1.516,1.5935
-0.025,0.0565,0.1305,0.2,0.29,0.3615,0.441,0.5225,0.5905,0.653,0.713,0.7665,0.8315,0.883,0.9905,1.1065,1.2,1.3335,1.437,1.506,1.596
-0.0265,0.0665,0.125,0.208,0.2805,0.368,0.4395,0.509,0.594,0.6635,0.71,0.7685,0.833,0.9045,0.9905,1.1095,1.2035,1.356,1.4375,1.508,1.591
-0.0205,0.06,0.1235,0.2075,0.291,0.363,0.435,0.5105,0.596,0.6675,0.714,0.764,0.8425,0.9235,0.9845,1.115,1.198,1.3385,1.4415,1.5155,1.5945
