Tiempo (s) Experimento 1000 al inicio,Fuerza (N) Experimento 1000 al inicio,Tiempo (s) EXP 1 - 1050,Fuerza (N) EXP 1 - 1050,Tiempo (s) EXP 2 - 1050,Fuerza (N) EXP 2 - 1050,Tiempo (s) EXP 1- 1100,Fuerza (N) EXP 1- 1100,Tiempo (s) EXP 2 - 1100,Fuerza (N) EXP 2 - 1100,Tiempo (s) EXP 1- 1150,Fuerza (N) EXP 1- 1150,Tiempo (s) EXP 2 - 1150,Fuerza (N) EXP 2 - 1150,Tiempo (s) EXP 1- 1200,Fuerza (N) EXP 1- 1200,Tiempo (s) EXP 2 - 1200,Fuerza (N) EXP 2 - 1200,Tiempo (s) EXP 1- 1250,Fuerza (N) EXP 1- 1250,Tiempo (s) EXP 2 - 1250,Fuerza (N) EXP 2 - 1250,Tiempo (s) EXP 1- 1300,Fuerza (N) EXP 1- 1300,Tiempo (s) EXP 2 - 1300,Fuerza (N) EXP 2 - 1300,Tiempo (s) EXP 1- 1350,Fuerza (N) EXP 1- 1350,Tiempo (s) EXP 2 - 1350,Fuerza (N) EXP 2 - 1350,Tiempo (s) EXP 1- 1400,Fuerza (N) EXP 1- 1400,Tiempo (s) EXP 2 - 1400,Fuerza (N) EXP 2 - 1400,Tiempo (s) EXP 1- 1450,Fuerza (N) EXP 1- 1450,Tiempo (s) EXP 2 - 1450,Fuerza (N) EXP 2 - 1450,Tiempo (s) EXP 1- 1500,Fuerza (N) EXP 1- 1500,Tiempo (s) EXP 2 - 1500,Fuerza (N) EXP 2 - 1500,Tiempo (s) EXP 1- 1550,Fuerza (N) EXP 1- 1550,Tiempo (s) EXP 2 - 1550,Fuerza (N) EXP 2 - 1550,Tiempo (s) EXP 1- 1600,Fuerza (N) EXP 1- 1600,Tiempo (s) EXP 2 - 1600,Fuerza (N) EXP 2 - 1600,Tiempo (s) EXP 1- 1650,Fuerza (N) EXP 1- 1650,Tiempo (s) EXP 2 - 1650,Fuerza (N) EXP 2 - 1650,Tiempo (s) EXP 1- 1700,Fuerza (N) EXP 1- 1700,Tiempo (s) EXP 2 - 1700,Fuerza (N) EXP 2 - 1700,Tiempo (s) EXP 1- 1750,Fuerza (N) EXP 1- 1750,Tiempo (s) EXP 2 - 1750,Fuerza (N) EXP 2 - 1750,Tiempo (s) EXP 1- 1800,Fuerza (N) EXP 1- 1800,Tiempo (s) EXP 2 - 1800,Fuerza (N) EXP 2 - 1800,Tiempo (s) EXP 1- 1850,Fuerza (N) EXP 1- 1850,Tiempo (s) EXP 2 - 1850,Fuerza (N) EXP 2 - 1850,Tiempo (s) EXP 1- 1900,Fuerza (N) EXP 1- 1900,Tiempo (s) EXP 2 - 1900,Fuerza (N) EXP 2 - 1900,Tiempo (s) EXP 1- 1950,Fuerza (N) EXP 1- 1950,Tiempo (s) EXP 2 - 1950,Fuerza (N) EXP 2 - 1950,Tiempo (s) EXP 1- 2000,Fuerza (N) EXP 1- 2000,Tiempo (s) EXP 2 - 2000,Fuerza (N) EXP 2 - 2000,Tiempo (s) Experimento 1000 al final,Fuerza (N) Experimento 1000 al final
"3,350","-0,004","3,350","-0,070","3,350","-0,055","3,350","-0,127","3,350","-0,121","3,350","-0,200","3,350","-0,218","3,350","-0,305","3,350","-0,261","3,350","-0,357","3,350","-0,375","3,350","-0,447","3,350","-0,431","3,350","-0,525","3,350","-0,514","3,350","-0,597","3,350","-0,577","3,350","-0,657","3,350","-0,672","3,350","-0,698","3,350","-0,709","3,350","-0,784","3,350","-0,777","3,350","-0,829","3,350","-0,843","3,350","-0,915","3,350","-0,924","3,350","-1,009","3,350","-0,999","3,350","-1,104","3,350","-1,109","3,350","-1,238","3,350","-1,200","3,350","-1,318","3,350","-1,317","3,350","-1,467","3,350","-1,434","3,350","-1,527","3,350","-1,506","3,350","-1,574","3,350","-1,597","3,350","0,048"
"3,400","0,009","3,400","-0,054","3,400","-0,059","3,400","-0,130","3,400","-0,127","3,400","-0,207","3,400","-0,205","3,400","-0,288","3,400","-0,293","3,400","-0,386","3,400","-0,352","3,400","-0,439","3,400","-0,438","3,400","-0,518","3,400","-0,529","3,400","-0,597","3,400","-0,588","3,400","-0,643","3,400","-0,668","3,400","-0,695","3,400","-0,706","3,400","-0,781","3,400","-0,761","3,400","-0,836","3,400","-0,840","3,400","-0,924","3,400","-0,925","3,400","-0,988","3,400","-0,995","3,400","-1,099","3,400","-1,093","3,400","-1,220","3,400","-1,204","3,400","-1,317","3,400","-1,302","3,400","-1,454","3,400","-1,459","3,400","-1,518","3,400","-1,506","3,400","-1,610","3,400","-1,581","3,400","0,048"
"3,450","0,002","3,450","-0,050","3,450","-0,064","3,450","-0,134","3,450","-0,138","3,450","-0,198","3,450","-0,207","3,450","-0,280","3,450","-0,279","3,450","-0,370","3,450","-0,359","3,450","-0,438","3,450","-0,443","3,450","-0,531","3,450","-0,518","3,450","-0,595","3,450","-0,597","3,450","-0,627","3,450","-0,679","3,450","-0,711","3,450","-0,702","3,450","-0,799","3,450","-0,765","3,450","-0,845","3,450","-0,843","3,450","-0,922","3,450","-0,947","3,450","-0,993","3,450","-0,999","3,450","-1,081","3,450","-1,099","3,450","-1,202","3,450","-1,197","3,450","-1,336","3,450","-1,306","3,450","-1,442","3,450","-1,470","3,450","-1,501","3,450","-1,502","3,450","-1,588","3,450","-1,610","3,450","0,050"
"3,500","-4,302E-16","3,500","-0,054","3,500","-0,057","3,500","-0,125","3,500","-0,127","3,500","-0,191","3,500","-0,211","3,500","-0,273","3,500","-0,264","3,500","-0,354","3,500","-0,372","3,500","-0,443","3,500","-0,425","3,500","-0,518","3,500","-0,506","3,500","-0,598","3,500","-0,590","3,500","-0,645","3,500","-0,681","3,500","-0,709","3,500","-0,709","3,500","-0,775","3,500","-0,766","3,500","-0,831","3,500","-0,849","3,500","-0,924","3,500","-0,938","3,500","-0,997","3,500","-1,004","3,500","-1,091","3,500","-1,113","3,500","-1,222","3,500","-1,192","3,500","-1,334","3,500","-1,322","3,500","-1,456","3,500","-1,456","3,500","-1,513","3,500","-1,502","3,500","-1,576","3,500","-1,622","3,500","0,050"
"3,550","0,005","3,550","-0,052","3,550","-0,063","3,550","-0,129","3,550","-0,121","3,550","-0,205","3,550","-0,213","3,550","-0,300","3,550","-0,270","3,550","-0,364","3,550","-0,364","3,550","-0,439","3,550","-0,429","3,550","-0,511","3,550","-0,514","3,550","-0,590","3,550","-0,586","3,550","-0,657","3,550","-0,686","3,550","-0,700","3,550","-0,704","3,550","-0,784","3,550","-0,775","3,550","-0,822","3,550","-0,849","3,550","-0,913","3,550","-0,929","3,550","-0,993","3,550","-0,997","3,550","-1,102","3,550","-1,106","3,550","-1,231","3,550","-1,199","3,550","-1,324","3,550","-1,308","3,550","-1,449","3,550","-1,447","3,550","-1,520","3,550","-1,506","3,550","-1,595","3,550","-1,597","3,550","0,048"
"3,600","0,009","3,600","-0,052","3,600","-0,064","3,600","-0,129","3,600","-0,132","3,600","-0,204","3,600","-0,197","3,600","-0,289","3,600","-0,282","3,600","-0,370","3,600","-0,348","3,600","-0,443","3,600","-0,443","3,600","-0,527","3,600","-0,523","3,600","-0,586","3,600","-0,593","3,600","-0,623","3,600","-0,663","3,600","-0,697","3,600","-0,706","3,600","-0,786","3,600","-0,761","3,600","-0,827","3,600","-0,838","3,600","-0,924","3,600","-0,916","3,600","-0,995","3,600","-0,990","3,600","-1,091","3,600","-1,093","3,600","-1,218","3,600","-1,208","3,600","-1,311","3,600","-1,295","3,600","-1,451","3,600","-1,470","3,600","-1,508","3,600","-1,501","3,600","-1,599","3,600","-1,597","3,600","0,048"
"3,650","0,007","3,650","-0,070","3,650","-0,059","3,650","-0,127","3,650","-0,134","3,650","-0,200","3,650","-0,213","3,650","-0,270","3,650","-0,279","3,650","-0,384","3,650","-0,361","3,650","-0,447","3,650","-0,438","3,650","-0,534","3,650","-0,509","3,650","-0,593","3,650","-0,582","3,650","-0,636","3,650","-0,670","3,650","-0,711","3,650","-0,704","3,650","-0,784","3,650","-0,768","3,650","-0,838","3,650","-0,849","3,650","-0,932","3,650","-0,922","3,650","-0,984","3,650","-0,991","3,650","-1,086","3,650","-1,102","3,650","-1,217","3,650","-1,199","3,650","-1,336","3,650","-1,327","3,650","-1,463","3,650","-1,477","3,650","-1,513","3,650","-1,499","3,650","-1,558","3,650","-1,597","3,650","0,054"
"3,700","0,011","3,700","-0,066","3,700","-0,057","3,700","-0,129","3,700","-0,125","3,700","-0,197","3,700","-0,209","3,700","-0,291","3,700","-0,275","3,700","-0,350","3,700","-0,361","3,700","-0,441","3,700","-0,429","3,700","-0,513","3,700","-0,509","3,700","-0,591","3,700","-0,581","3,700","-0,654","3,700","-0,690","3,700","-0,700","3,700","-0,698","3,700","-0,777","3,700","-0,761","3,700","-0,818","3,700","-0,857","3,700","-0,929","3,700","-0,934","3,700","-0,990","3,700","-1,008","3,700","-1,100","3,700","-1,120","3,700","-1,215","3,700","-1,192","3,700","-1,329","3,700","-1,304","3,700","-1,467","3,700","-1,451","3,700","-1,513","3,700","-1,518","3,700","-1,576","3,700","-1,599","3,700","0,048"
"3,750","0,004","3,750","-0,061","3,750","-0,061","3,750","-0,127","3,750","-0,121","3,750","-0,204","3,750","-0,214","3,750","-0,298","3,750","-0,272","3,750","-0,364","3,750","-0,363","3,750","-0,439","3,750","-0,429","3,750","-0,520","3,750","-0,518","3,750","-0,581","3,750","-0,581","3,750","-0,631","3,750","-0,681","3,750","-0,704","3,750","-0,698","3,750","-0,788","3,750","-0,777","3,750","-0,824","3,750","-0,849","3,750","-0,913","3,750","-0,918","3,750","-0,983","3,750","-0,988","3,750","-1,097","3,750","-1,106","3,750","-1,220","3,750","-1,208","3,750","-1,302","3,750","-1,313","3,750","-1,436","3,750","-1,451","3,750","-1,504","3,750","-1,511","3,750","-1,597","3,750","-1,593","3,750","0,046"
"3,800","0,004","3,800","-0,075","3,800","-0,061","3,800","-0,130","3,800","-0,129","3,800","-0,205","3,800","-0,216","3,800","-0,280","3,800","-0,277","3,800","-0,380","3,800","-0,357","3,800","-0,443","3,800","-0,439","3,800","-0,536","3,800","-0,511","3,800","-0,586","3,800","-0,590","3,800","-0,636","3,800","-0,665","3,800","-0,709","3,800","-0,707","3,800","-0,782","3,800","-0,763","3,800","-0,836","3,800","-0,838","3,800","-0,909","3,800","-0,920","3,800","-0,975","3,800","-0,988","3,800","-1,090","3,800","-1,100","3,800","-1,227","3,800","-1,206","3,800","-1,317","3,800","-1,309","3,800","-1,438","3,800","-1,461","3,800","-1,520","3,800","-1,513","3,800","-1,588","3,800","-1,592","3,800","0,050"
"3,850","0,009","3,850","-0,029","3,850","-0,061","3,850","-0,130","3,850","-0,139","3,850","-0,205","3,850","-0,200","3,850","-0,277","3,850","-0,279","3,850","-0,372","3,850","-0,361","3,850","-0,450","3,850","-0,431","3,850","-0,538","3,850","-0,523","3,850","-0,597","3,850","-0,584","3,850","-0,638","3,850","-0,672","3,850","-0,731","3,850","-0,704","3,850","-0,791","3,850","-0,763","3,850","-0,831","3,850","-0,852","3,850","-0,927","3,850","-0,925","3,850","-0,990","3,850","-1,006","3,850","-1,095","3,850","-1,115","3,850","-1,209","3,850","-1,179","3,850","-1,327","3,850","-1,308","3,850","-1,458","3,850","-1,465","3,850","-1,515","3,850","-1,513","3,850","-1,568","3,850","-1,595","3,850","0,054"
"3,900","0,007","3,900","-0,071","3,900","-0,061","3,900","-0,130","3,900","-0,125","3,900","-0,197","3,900","-0,209","3,900","-0,288","3,900","-0,279","3,900","-0,355","3,900","-0,368","3,900","-0,439","3,900","-0,427","3,900","-0,518","3,900","-0,520","3,900","-0,588","3,900","-0,577","3,900","-0,650","3,900","-0,679","3,900","-0,720","3,900","-0,707","3,900","-0,774","3,900","-0,761","3,900","-0,829","3,900","-0,856","3,900","-0,924","3,900","-0,929","3,900","-0,997","3,900","-1,000","3,900","-1,097","3,900","-1,115","3,900","-1,211","3,900","-1,200","3,900","-1,333","3,900","-1,317","3,900","-1,442","3,900","-1,451","3,900","-1,526","3,900","-1,508","3,900","-1,601","3,900","-1,586","3,900","0,048"
"3,950","-4,302E-16","3,950","-0,077","3,950","-0,061","3,950","-0,130","3,950","-0,121","3,950","-0,198","3,950","-0,220","3,950","-0,289","3,950","-0,270","3,950","-0,366","3,950","-0,348","3,950","-0,443","3,950","-0,436","3,950","-0,523","3,950","-0,502","3,950","-0,593","3,950","-0,586","3,950","-0,640","3,950","-0,679","3,950","-0,713","3,950","-0,707","3,950","-0,765","3,950","-0,772","3,950","-0,840","3,950","-0,832","3,950","-0,907","3,950","-0,907","3,950","-0,977","3,950","-0,981","3,950","-1,090","3,950","-1,108","3,950","-1,222","3,950","-1,202","3,950","-1,306","3,950","-1,322","3,950","-1,442","3,950","-1,447","3,950","-1,511","3,950","-1,520","3,950","-1,599","3,950","-1,593","3,950","0,046"
"4,000","-4,302E-16","4,000","-0,052","4,000","-0,064","4,000","-0,129","4,000","-0,138","4,000","-0,205","4,000","-0,200","4,000","-0,291","4,000","-0,268","4,000","-0,375","4,000","-0,354","4,000","-0,447","4,000","-0,432","4,000","-0,541","4,000","-0,516","4,000","-0,597","4,000","-0,584","4,000","-0,623","4,000","-0,665","4,000","-0,736","4,000","-0,700","4,000","-0,775","4,000","-0,761","4,000","-0,832","4,000","-0,841","4,000","-0,918","4,000","-0,916","4,000","-0,981","4,000","-0,999","4,000","-1,093","4,000","-1,100","4,000","-1,215","4,000","-1,190","4,000","-1,315","4,000","-1,302","4,000","-1,451","4,000","-1,456","4,000","-1,513","4,000","-1,526","4,000","-1,563","4,000","-1,602","4,000","0,048"
"4,050","0,009","4,050","-0,064","4,050","-0,057","4,050","-0,129","4,050","-0,136","4,050","-0,193","4,050","-0,209","4,050","-0,291","4,050","-0,280","4,050","-0,361","4,050","-0,372","4,050","-0,441","4,050","-0,425","4,050","-0,539","4,050","-0,525","4,050","-0,600","4,050","-0,582","4,050","-0,648","4,050","-0,679","4,050","-0,740","4,050","-0,711","4,050","-0,772","4,050","-0,774","4,050","-0,836","4,050","-0,854","4,050","-0,922","4,050","-0,922","4,050","-0,983","4,050","-0,995","4,050","-1,097","4,050","-1,109","4,050","-1,225","4,050","-1,192","4,050","-1,327","4,050","-1,322","4,050","-1,445","4,050","-1,463","4,050","-1,536","4,050","-1,509","4,050","-1,577","4,050","-1,585","4,050","0,052"
"4,100","0,011","4,100","-0,068","4,100","-0,057","4,100","-0,130","4,100","-0,125","4,100","-0,202","4,100","-0,223","4,100","-0,286","4,100","-0,284","4,100","-0,361","4,100","-0,355","4,100","-0,448","4,100","-0,434","4,100","-0,513","4,100","-0,509","4,100","-0,600","4,100","-0,581","4,100","-0,654","4,100","-0,686","4,100","-0,731","4,100","-0,713","4,100","-0,761","4,100","-0,768","4,100","-0,843","4,100","-0,843","4,100","-0,927","4,100","-0,934","4,100","-0,972","4,100","-0,991","4,100","-1,097","4,100","-1,113","4,100","-1,220","4,100","-1,202","4,100","-1,311","4,100","-1,325","4,100","-1,445","4,100","-1,459","4,100","-1,524","4,100","-1,511","4,100","-1,602","4,100","-1,586","4,100","0,052"
"4,150","-0,007","4,150","-0,057","4,150","-0,064","4,150","-0,132","4,150","-0,132","4,150","-0,197","4,150","-0,214","4,150","-0,291","4,150","-0,270","4,150","-0,366","4,150","-0,350","4,150","-0,443","4,150","-0,434","4,150","-0,527","4,150","-0,504","4,150","-0,602","4,150","-0,600","4,150","-0,625","4,150","-0,668","4,150","-0,725","4,150","-0,702","4,150","-0,788","4,150","-0,765","4,150","-0,836","4,150","-0,840","4,150","-0,920","4,150","-0,915","4,150","-0,974","4,150","-0,997","4,150","-1,086","4,150","-1,106","4,150","-1,208","4,150","-1,190","4,150","-1,292","4,150","-1,311","4,150","-1,440","4,150","-1,436","4,150","-1,502","4,150","-1,533","4,150","-1,611","4,150","-1,608","4,150","0,052"
"4,200","-0,004","4,200","-0,070","4,200","-0,063","4,200","-0,129","4,200","-0,132","4,200","-0,197","4,200","-0,211","4,200","-0,282","4,200","-0,270","4,200","-0,372","4,200","-0,372","4,200","-0,447","4,200","-0,427","4,200","-0,539","4,200","-0,514","4,200","-0,598","4,200","-0,600","4,200","-0,629","4,200","-0,684","4,200","-0,727","4,200","-0,707","4,200","-0,770","4,200","-0,765","4,200","-0,836","4,200","-0,834","4,200","-0,913","4,200","-0,907","4,200","-0,977","4,200","-0,995","4,200","-1,091","4,200","-1,111","4,200","-1,209","4,200","-1,186","4,200","-1,320","4,200","-1,322","4,200","-1,447","4,200","-1,463","4,200","-1,515","4,200","-1,522","4,200","-1,588","4,200","-1,585","4,200","0,052"
"4,250","0,011","4,250","-0,050","4,250","-0,054","4,250","-0,130","4,250","-0,132","4,250","-0,204","4,250","-0,214","4,250","-0,280","4,250","-0,280","4,250","-0,363","4,250","-0,368","4,250","-0,450","4,250","-0,439","4,250","-0,523","4,250","-0,514","4,250","-0,598","4,250","-0,581","4,250","-0,656","4,250","-0,684","4,250","-0,743","4,250","-0,718","4,250","-0,759","4,250","-0,770","4,250","-0,843","4,250","-0,840","4,250","-0,925","4,250","-0,925","4,250","-0,972","4,250","-1,000","4,250","-1,099","4,250","-1,113","4,250","-1,225","4,250","-1,202","4,250","-1,317","4,250","-1,333","4,250","-1,454","4,250","-1,468","4,250","-1,531","4,250","-1,506","4,250","-1,583","4,250","-1,572","4,250","0,046"
"4,300","0,007","4,300","-0,038","4,300","-0,059","4,300","-0,129","4,300","-0,129","4,300","-0,198","4,300","-0,213","4,300","-0,302","4,300","-0,280","4,300","-0,354","4,300","-0,352","4,300","-0,438","4,300","-0,431","4,300","-0,520","4,300","-0,522","4,300","-0,595","4,300","-0,590","4,300","-0,638","4,300","-0,681","4,300","-0,727","4,300","-0,711","4,300","-0,770","4,300","-0,756","4,300","-0,822","4,300","-0,845","4,300","-0,920","4,300","-0,934","4,300","-0,970","4,300","-0,990","4,300","-1,102","4,300","-1,113","4,300","-1,224","4,300","-1,195","4,300","-1,300","4,300","-1,299","4,300","-1,449","4,300","-1,459","4,300","-1,513","4,300","-1,524","4,300","-1,606","4,300","-1,599","4,300","0,057"
"4,350","-0,005","4,350","-0,064","4,350","-0,063","4,350","-0,134","4,350","-0,127","4,350","-0,207","4,350","-0,220","4,350","-0,280","4,350","-0,273","4,350","-0,372","4,350","-0,357","4,350","-0,447","4,350","-0,423","4,350","-0,523","4,350","-0,514","4,350","-0,595","4,350","-0,606","4,350","-0,620","4,350","-0,677","4,350","-0,720","4,350","-0,706","4,350","-0,781","4,350","-0,775","4,350","-0,831","4,350","-0,832","4,350","-0,911","4,350","-0,913","4,350","-0,970","4,350","-0,995","4,350","-1,088","4,350","-1,116","4,350","-1,209","4,350","-1,195","4,350","-1,302","4,350","-1,331","4,350","-1,442","4,350","-1,451","4,350","-1,504","4,350","-1,520","4,350","-1,610","4,350","-1,599","4,350","0,048"
"4,400","-0,002","4,400","-0,057","4,400","-0,063","4,400","-0,127","4,400","-0,134","4,400","-0,205","4,400","-0,200","4,400","-0,273","4,400","-0,273","4,400","-0,361","4,400","-0,364","4,400","-0,439","4,400","-0,438","4,400","-0,529","4,400","-0,511","4,400","-0,595","4,400","-0,595","4,400","-0,641","4,400","-0,690","4,400","-0,720","4,400","-0,706","4,400","-0,772","4,400","-0,766","4,400","-0,840","4,400","-0,834","4,400","-0,916","4,400","-0,913","4,400","-0,966","4,400","-1,004","4,400","-1,100","4,400","-1,120","4,400","-1,206","4,400","-1,188","4,400","-1,324","4,400","-1,331","4,400","-1,440","4,400","-1,447","4,400","-1,515","4,400","-1,518","4,400","-1,601","4,400","-1,577","4,400","0,045"
"4,450","0,005","4,450","-0,045","4,450","-0,061","4,450","-0,125","4,450","-0,136","4,450","-0,202","4,450","-0,204","4,450","-0,291","4,450","-0,277","4,450","-0,354","4,450","-0,375","4,450","-0,445","4,450","-0,431","4,450","-0,534","4,450","-0,527","4,450","-0,591","4,450","-0,586","4,450","-0,654","4,450","-0,675","4,450","-0,731","4,450","-0,716","4,450","-0,770","4,450","-0,774","4,450","-0,838","4,450","-0,850","4,450","-0,924","4,450","-0,918","4,450","-0,972","4,450","-0,988","4,450","-1,095","4,450","-1,111","4,450","-1,224","4,450","-1,195","4,450","-1,313","4,450","-1,318","4,450","-1,434","4,450","-1,463","4,450","-1,533","4,450","-1,524","4,450","-1,592","4,450","-1,590","4,450","0,046"
"4,500","0,007","4,500","-0,066","4,500","-0,059","4,500","-0,129","4,500","-0,127","4,500","-0,209","4,500","-0,216","4,500","-0,279","4,500","-0,279","4,500","-0,363","4,500","-0,352","4,500","-0,443","4,500","-0,429","4,500","-0,520","4,500","-0,522","4,500","-0,590","4,500","-0,595","4,500","-0,632","4,500","-0,668","4,500","-0,734","4,500","-0,720","4,500","-0,759","4,500","-0,765","4,500","-0,836","4,500","-0,838","4,500","-0,911","4,500","-0,916","4,500","-0,972","4,500","-0,984","4,500","-1,100","4,500","-1,111","4,500","-1,225","4,500","-1,206","4,500","-1,299","4,500","-1,325","4,500","-1,443","4,500","-1,458","4,500","-1,513","4,500","-1,522","4,500","-1,593","4,500","-1,608","4,500","0,055"
"4,550","-0,002","4,550","-0,057","4,550","-0,063","4,550","-0,127","4,550","-0,125","4,550","-0,209","4,550","-0,216","4,550","-0,272","4,550","-0,272","4,550","-0,366","4,550","-0,354","4,550","-0,443","4,550","-0,432","4,550","-0,522","4,550","-0,513","4,550","-0,595","4,550","-0,593","4,550","-0,631","4,550","-0,679","4,550","-0,718","4,550","-0,700","4,550","-0,779","4,550","-0,768","4,550","-0,836","4,550","-0,822","4,550","-0,916","4,550","-0,907","4,550","-0,952","4,550","-1,013","4,550","-1,086","4,550","-1,122","4,550","-1,206","4,550","-1,188","4,550","-1,302","4,550","-1,306","4,550","-1,434","4,550","-1,456","4,550","-1,501","4,550","-1,526","4,550","-1,599","4,550","-1,601","4,550","0,050"
"4,600","0,002","4,600","-0,057","4,600","-0,061","4,600","-0,130","4,600","-0,132","4,600","-0,198","4,600","-0,207","4,600","-0,286","4,600","-0,280","4,600","-0,361","4,600","-0,375","4,600","-0,447","4,600","-0,429","4,600","-0,522","4,600","-0,518","4,600","-0,595","4,600","-0,588","4,600","-0,647","4,600","-0,686","4,600","-0,723","4,600","-0,707","4,600","-0,759","4,600","-0,772","4,600","-0,845","4,600","-0,832","4,600","-0,909","4,600","-0,916","4,600","-0,966","4,600","-1,004","4,600","-1,102","4,600","-1,115","4,600","-1,211","4,600","-1,193","4,600","-1,329","4,600","-1,334","4,600","-1,436","4,600","-1,452","4,600","-1,517","4,600","-1,520","4,600","-1,599","4,600","-1,577","4,600","0,041"
"4,650","0,018","4,650","-0,064","4,650","-0,055","4,650","-0,129","4,650","-0,132","4,650","-0,204","4,650","-0,200","4,650","-0,297","4,650","-0,284","4,650","-0,352","4,650","-0,359","4,650","-0,434","4,650","-0,427","4,650","-0,527","4,650","-0,525","4,650","-0,600","4,650","-0,577","4,650","-0,652","4,650","-0,670","4,650","-0,731","4,650","-0,722","4,650","-0,770","4,650","-0,777","4,650","-0,845","4,650","-0,838","4,650","-0,915","4,650","-0,915","4,650","-0,970","4,650","-0,990","4,650","-1,099","4,650","-1,108","4,650","-1,229","4,650","-1,208","4,650","-1,317","4,650","-1,329","4,650","-1,449","4,650","-1,451","4,650","-1,526","4,650","-1,522","4,650","-1,601","4,650","-1,574","4,650","0,041"
"4,700","-4,302E-16","4,700","-0,039","4,700","-0,063","4,700","-0,129","4,700","-0,127","4,700","-0,213","4,700","-0,211","4,700","-0,273","4,700","-0,280","4,700","-0,366","4,700","-0,347","4,700","-0,447","4,700","-0,436","4,700","-0,520","4,700","-0,520","4,700","-0,609","4,700","-0,575","4,700","-0,631","4,700","-0,670","4,700","-0,734","4,700","-0,715","4,700","-0,772","4,700","-0,752","4,700","-0,818","4,700","-0,831","4,700","-0,915","4,700","-0,890","4,700","-0,975","4,700","-1,002","4,700","-1,104","4,700","-1,116","4,700","-1,215","4,700","-1,195","4,700","-1,302","4,700","-1,308","4,700","-1,445","4,700","-1,459","4,700","-1,511","4,700","-1,527","4,700","-1,604","4,700","-1,602","4,700","0,054"
"4,750","-0,016","4,750","-0,059","4,750","-0,064","4,750","-0,125","4,750","-0,127","4,750","-0,198","4,750","-0,209","4,750","-0,282","4,750","-0,279","4,750","-0,366","4,750","-0,370","4,750","-0,448","4,750","-0,432","4,750","-0,520","4,750","-0,520","4,750","-0,613","4,750","-0,586","4,750","-0,636","4,750","-0,677","4,750","-0,720","4,750","-0,709","4,750","-0,777","4,750","-0,768","4,750","-0,829","4,750","-0,825","4,750","-0,909","4,750","-0,897","4,750","-0,981","4,750","-1,008","4,750","-1,095","4,750","-1,122","4,750","-1,204","4,750","-1,195","4,750","-1,338","4,750","-1,336","4,750","-1,443","4,750","-1,449","4,750","-1,504","4,750","-1,531","4,750","-1,615","4,750","-1,590","4,750","0,055"
"4,800","0,011","4,800","-0,073","4,800","-0,061","4,800","-0,121","4,800","-0,129","4,800","-0,202","4,800","-0,209","4,800","-0,291","4,800","-0,288","4,800","-0,357","4,800","-0,372","4,800","-0,439","4,800","-0,425","4,800","-0,513","4,800","-0,514","4,800","-0,609","4,800","-0,582","4,800","-0,652","4,800","-0,682","4,800","-0,722","4,800","-0,718","4,800","-0,754","4,800","-0,777","4,800","-0,841","4,800","-0,829","4,800","-0,915","4,800","-0,920","4,800","-0,974","4,800","-0,988","4,800","-1,099","4,800","-1,120","4,800","-1,220","4,800","-1,186","4,800","-1,359","4,800","-1,343","4,800","-1,440","4,800","-1,449","4,800","-1,504","4,800","-1,527","4,800","-1,617","4,800","-1,570","4,800","0,045"
"4,850","0,004","4,850","-0,054","4,850","-0,061","4,850","-0,130","4,850","-0,132","4,850","-0,207","4,850","-0,198","4,850","-0,295","4,850","-0,280","4,850","-0,357","4,850","-0,348","4,850","-0,447","4,850","-0,438","4,850","-0,522","4,850","-0,520","4,850","-0,613","4,850","-0,573","4,850","-0,645","4,850","-0,675","4,850","-0,729","4,850","-0,718","4,850","-0,781","4,850","-0,766","4,850","-0,849","4,850","-0,834","4,850","-0,909","4,850","-0,909","4,850","-0,972","4,850","-0,990","4,850","-1,108","4,850","-1,109","4,850","-1,220","4,850","-1,186","4,850","-1,338","4,850","-1,311","4,850","-1,440","4,850","-1,454","4,850","-1,497","4,850","-1,535","4,850","-1,599","4,850","-1,588","4,850","0,039"
"4,900","0,002","4,900","-0,045","4,900","-0,068","4,900","-0,132","4,900","-0,129","4,900","-0,198","4,900","-0,202","4,900","-0,300","4,900","-0,280","4,900","-0,364","4,900","-0,359","4,900","-0,443","4,900","-0,439","4,900","-0,513","4,900","-0,532","4,900","-0,602","4,900","-0,579","4,900","-0,629","4,900","-0,677","4,900","-0,711","4,900","-0,715","4,900","-0,772","4,900","-0,761","4,900","-0,834","4,900","-0,829","4,900","-0,900","4,900","-0,866","4,900","-0,979","4,900","-1,002","4,900","-1,097","4,900","-1,116","4,900","-1,208","4,900","-1,192","4,900","-1,354","4,900","-1,313","4,900","-1,431","4,900","-1,443","4,900","-1,488","4,900","-1,524","4,900","-1,602","4,900","-1,590","4,900","0,048"
