tiempo_s,angulo_sim_deg,error_sim_deg,pwm_sim,angulo_real_deg,error_real_deg,pwm_real
1.400,-45.98348092629234,45.98348092629234,1320.6230105631435,0.0,0.0,1310.7208990092784
1.420,-45.869521389591135,45.869521389591135,1320.621021594014,0.0,0.0,1311.7006634141583
1.440,-45.754037312844915,45.754037312844915,1320.6190060166412,0.15,-0.15,1312.1217324398765
1.460,-45.637032534334416,45.637032534334416,1320.6169638980157,1.5,-1.5,1308.8375822903392
1.480,-45.51851094288306,45.51851094288306,1320.61489530601,3.15,-3.15,1304.963049754025
1.500,-45.39847647772778,45.39847647772778,1320.6128003093772,5.1,-5.1,1300.555867102143
1.520,-45.276933128388066,45.276933128388066,1320.6106789777475,7.2,-7.2,1296.1253171463065
1.540,-45.15388493453333,45.15388493453333,1320.608531381626,9.15,-9.15,1292.5872132105526
1.560,-45.02933598584869,45.02933598584869,1320.6063575923915,10.95,-10.95,1289.8509832435852
1.580,-44.90329042189904,44.90329042189904,1320.6041576822931,13.2,-13.2,1286.005347954639
1.600,-44.77575243199143,44.77575243199143,1320.601931724448,15.45,-15.45,1282.532569558045
1.620,-44.64672625503585,44.64672625503585,1320.5996797928387,17.55,-17.55,1279.8516363700262
1.640,-44.516216179404374,44.516216179404374,1320.597401962312,19.65,-19.65,1277.4248483298845
1.660,-44.38422654278856,44.38422654278856,1320.5950983085745,21.3,-21.3,1276.5984855974586
1.680,-44.25076173205535,44.25076173205535,1320.5927689081916,23.25,-23.25,1274.9245086210155
1.700,-44.115826183101234,44.115826183101234,1320.5904138385845,25.2,-25.2,1273.4022419443356
1.720,-43.979424380704785,43.979424380704785,1320.588033178027,26.7,-26.7,1273.388545626342
1.740,-43.84156085837769,43.84156085837769,1320.5856270056438,27.15,-27.15,1276.5625070957017
1.760,-43.70224019821397,43.70224019821397,1320.583195401408,26.25,-26.25,1283.5212342035877
1.780,-43.56146703073776,43.56146703073776,1320.580738446137,24.15,-24.15,1293.4308584495327
1.800,-43.419246034749364,43.419246034749364,1320.5782562214915,20.55,-20.55,1306.914573187299
1.820,-43.27558193716979,43.27558193716979,1320.5757488099719,16.65,-16.65,1319.9592944482945
1.840,-43.13047951288359,43.13047951288359,1320.5732162949155,13.5,-13.5,1329.4110069764274
1.860,-42.98394358458022,42.98394358458022,1320.570658760494,10.8,-10.8,1336.5477721529041
1.880,-42.8359790225937,42.8359790225937,1320.5680762917111,8.1,-8.1,1342.9763973519869
1.900,-42.686590744740755,42.686590744740755,1320.5654689743988,6.0,-6.0,1346.939976732563
1.920,-42.5357837161574,42.5357837161574,1320.5628368952148,4.5,-4.5,1348.686655827476
1.940,-42.38356294913386,42.38356294913386,1320.5601801416403,2.4,-2.4,1352.099072448606
1.960,-42.229933502948015,42.229933502948015,1320.5574988019764,0.45,-0.45,1354.7240895685547
1.980,-42.07490048369725,42.07490048369725,1320.5547929653412,-1.5,1.5,1357.0989466465878
2.000,-41.91846904412872,41.91846904412872,1320.5520627216672,-3.75,3.75,1360.1645280781497
2.020,-41.76064438346812,41.76064438346812,1320.5493081616978,-5.85,5.85,1362.4801987450023
2.040,-41.60143174724685,41.60143174724685,1320.5465293769848,-8.4,8.4,1365.951874709692
2.060,-41.4408364271277,41.4408364271277,1320.5437264598854,-11.25,11.25,1370.0075154242481
2.080,-41.27886376072898,41.27886376072898,1320.5408995035586,-14.7,14.7,1375.5050943610734
2.100,-41.11551913144708,41.11551913144708,1320.5380486019621,-18.6,18.6,1381.8446616817048
2.120,-40.950807968277566,40.950807968277566,1320.53517384985,-22.5,22.5,1387.5715876533177
2.140,-40.784735745634755,40.784735745634755,1320.5322753427688,-26.55,26.55,1393.206693882604
2.160,-40.617307983169724,40.617307983169724,1320.5293531770546,-30.45,30.45,1397.8460817998243
2.180,-40.4485302455869,40.4485302455869,1320.5264074498298,-33.6,33.6,1399.7609457063907
2.200,-40.2784081424591,40.2784081424591,1320.5234382589997,-36.6,36.6,1401.0546899650772
2.220,-40.10694732804104,40.10694732804104,1320.52044570325,-39.15,39.15,1400.8748462953636
2.240,-39.93415350108149,39.93415350108149,1320.5174298820425,-42.0,42.0,1401.6563647762916
2.260,-39.76003240463378,39.76003240463378,1320.5143908956122,-44.7,44.7,1401.9306676176495
2.280,-39.58458982586503,39.58458982586503,1320.5113288449645,-46.05,46.05,1398.0884276206434
2.300,-39.40783159586368,39.40783159586368,1320.508243831871,-47.25,47.25,1394.2004068317801
2.320,-39.22976358944576,39.22976358944576,1320.5051359588665,-47.85,47.85,1388.8971885079288
2.340,-39.050391724959646,39.050391724959646,1320.5020053292458,-48.3,48.3,1383.6910323915024
2.360,-38.869721964089294,38.869721964089294,1320.49885204706,-48.75,48.75,1379.0278249995197
2.380,-38.68776031165614,38.68776031165614,1320.4956762171125,-49.5,49.5,1375.766531765385
2.400,-38.504512815419524,38.504512815419524,1320.4924779449573,-49.95,49.95,1371.9355428277086
2.420,-38.31998556587564,38.31998556587564,1320.489257336893,-50.55,50.55,1368.9630216381217
2.440,-38.134184696055165,38.134184696055165,1320.4860144999616,-50.4,50.4,1364.016837375036
2.460,-37.94711638131938,37.94711638131938,1320.4827495419433,-50.4,50.4,1360.037851450075
2.480,-37.75878683915493,37.75878683915493,1320.4794625713537,-50.4,50.4,1356.4702760892667
2.500,-37.5692023289672,37.5692023289672,1320.4761536974402,-50.4,50.4,1353.2716250954134
2.520,-37.378369151872235,37.378369151872235,1320.4728230301778,-50.4,50.4,1350.4037998031656
2.540,-37.18629365048735,37.18629365048735,1320.469470680266,-50.4,50.4,1347.832635980437
2.560,-36.99298220872031,36.99298220872031,1320.4660967591255,-50.4,50.4,1345.5274975211266
2.580,-36.798441251557136,36.798441251557136,1320.4627013788931,-50.4,50.4,1343.4609120970192
2.600,-36.60267724484859,36.60267724484859,1320.4592846524192,-50.4,50.4,1341.6082444357646
2.620,-36.40569669509526,36.40569669509526,1320.4558466932635,-50.4,50.4,1339.9474033393035
2.640,-36.20750614923128,36.20750614923128,1320.4523876156918,-50.4,50.4,1338.4585789583766
2.660,-36.00811219440679,36.00811219440679,1320.4489075346717,-50.4,50.4,1337.1240071985878
2.680,-35.807521457768964,35.807521457768964,1320.4454065658683,-50.4,50.4,1335.927758456152
2.700,-35.605740606241746,35.605740606241746,1320.4418848256416,-50.4,50.4,1334.8555481708172
2.720,-35.402776346304286,35.402776346304286,1320.438342431042,-50.4,50.4,1333.894566942904
2.740,-35.198635423768,35.198635423768,1320.4347794998057,-50.4,50.4,1333.0333281940907
2.760,-34.99332462355244,34.99332462355244,1320.431196150352,-50.4,50.4,1332.2615315602027
2.780,-34.7868507694597,34.7868507694597,1320.4275925017787,-50.4,50.4,1331.5699403913736
2.800,-34.57922072394765,34.57922072394765,1320.4239686738586,-50.4,50.4,1330.9502719027128
2.820,-34.370441387901884,34.370441387901884,1320.4203247870344,-50.4,50.4,1330.3950986690666
2.840,-34.16051970040634,34.16051970040634,1320.4166609624162,-50.4,50.4,1329.8977602923762
2.860,-33.949462638512635,33.949462638512635,1320.4129773217767,-50.4,50.4,1329.4522841911098
2.880,-33.7372772170082,33.7372772170082,1320.4092739875466,-50.4,50.4,1329.053314569737
2.900,-33.52397048818316,33.52397048818316,1320.405551082812,-50.4,50.4,1328.6960487234953
2.920,-33.30954954159589,33.30954954159589,1320.4018087313088,-50.4,50.4,1328.3761799209383
2.940,-33.09402150383743,33.09402150383743,1320.3980470574195,-50.4,50.4,1328.0898461849777
2.960,-32.87739353829458,32.87739353829458,1320.3942661861688,-50.4,50.4,1327.8335843632872
2.980,-32.65967284491184,32.65967284491184,1320.3904662432196,-50.4,50.4,1327.604288941835
3.000,-32.4408666599521,32.4408666599521,1320.3866473548683,-50.4,50.4,1327.3991751117267
3.020,-32.220982255756155,32.220982255756155,1320.3828096480413,-50.4,50.4,1327.2157456501202
3.040,-32.00002694050096,32.00002694050096,1320.3789532502904,-50.4,50.4,1327.0517612213334
3.060,-31.778008057956768,31.778008057956768,1320.3750782897885,-50.4,50.4,1326.9052137449455
3.080,nan,nan,nan,-50.4,50.4,1326.774302514162
3.100,nan,nan,nan,-50.4,50.4,1326.6574127804274
3.120,nan,nan,nan,-50.4,50.4,1326.5530965495955
3.140,nan,nan,nan,-50.4,50.4,1326.4600553612709
3.160,nan,nan,nan,-50.4,50.4,1326.377124846521
